area,group,special
2009,949.53,0
2009,960.09,0
2009,1012.88,0
2009,973.55,0
2009,941.2,0
2009,957.38,0
2009,949.88,0
2009,946.31,0
2009,938.88,0
2009,920.56,0
2009,968.84,0
2009,430.42,0
2009,288.98,0
2009,2690.0,224
2009,3105.44,224
2009,867.0,421
2009,1344.0,224
2009,2811.75,224
2009,2728.5,224
2009,2744.57,224
2009,1359.75,224
2009,2608.13,224
2009,1363.8,224
2009,1652.03,224
2009,2797.0,224
2009,2755.59,224
2009,2750.55,224
2009,2695.88,224
2009,2737.0,224
2009,2728.5,224
2009,2624.84,224
2009,2715.0,224
2009,2767.58,224
2009,1354.5,224
2009,2733.52,224
2009,2733.52,224
2009,2728.5,224
2009,2750.55,224
2009,870.75,224
2009,1912.5,224
2009,1928.5,224
2009,2733.52,224
2009,2736.04,224
2009,2733.52,224
2009,1369.06,224
2009,1942.38,224
2009,2737.0,224
2009,2146.38,224
2009,2169.14,224
2009,2750.55,224
2009,1919.53,224
2009,2175.25,224
2009,2737.0,224
2009,1365.0,224
2009,1336.0,224
2009,1344.0,224
2009,1325.56,224
2009,656.25,224
2009,655.88,224
2009,1354.5,224
2009,855.88,224
2009,1354.5,224
2009,3495.94,224
2009,3501.09,224
2009,864.0,224
2009,2441.8,224
2009,1344.0,224
2009,1354.5,224
2009,1354.5,224
2009,1354.5,224
2009,1354.5,224
2009,1354.5,224
2009,1354.5,224
2009,1344.0,224
2009,1378.69,224
2009,1330.31,224
2009,1354.5,224
2009,1333.5,224
2009,1354.5,224
2009,1354.5,224
2009,1354.5,224
2009,1354.5,224
2009,1362.56,224
2009,1354.5,224
2009,1354.5,224
2009,1354.5,224
2009,1345.23,224
2009,1345.23,224
2009,1554.0,224
2009,1500.0,224
2009,1354.5,224
2009,1353.27,224
2009,1359.75,224
2009,1354.5,224
2009,1354.5,224
2009,1354.5,224
2009,1344.0,224
2009,1346.44,224
2009,1307.25,224
2009,1354.5,224
2009,1358.53,224
2009,1359.75,224
2009,1349.25,224
2009,1349.25,224
2009,2111.5,224
2009,2008.23,224
2009,1349.25,224
2009,1353.27,224
2009,1341.22,224
2009,1354.5,224
2009,1354.5,224
2009,1354.5,224
2009,1354.5,224
2009,1353.27,224
2009,1344.0,224
2009,1354.5,224
2009,1349.25,224
2009,3007.11,224
2009,3209.94,224
2009,2926.86,224
2009,3224.93,224
2009,2717.24,224
2009,2973.88,224
2009,2971.88,224
2009,3162.56,224
2009,2974.06,224
2009,2031.42,224
2009,2175.78,224
2009,2539.67,224
2009,2965.5,224
2009,2587.89,224
2009,2967.08,224
2009,3171.0,224
2009,2602.97,224
2009,2983.59,224
2009,2549.53,224
2009,4403.25,224
2009,3617.77,224
2009,1986.25,224
2009,1864.1,224
2009,1841.22,224
2009,1979.44,224
2009,2028.81,224
2009,1842.58,224
2009,2745.5,224
2009,1359.75,224
2009,630.56,224
2009,400.64,224
2009,2737.0,224
2009,2715.0,224
2009,2681.06,224
2009,2794.69,224
2009,2725.31,224
2009,81.0,0
2014,71.19,0
2012,10.09,0
2012,10.09,0
2012,10.09,0
2012,10.09,0
2012,13.41,0
2012,54.14,0
2012,94.5,0
2012,10.09,0
2012,10.09,0
2013,252.0,0
2013,252.0,0
2011,5.47,0
2012,973.5,0
2012,549.66,0
2013,639.0,0
2011,31.88,0
2012,3148.53,0
2011,645.75,0
2012,1139.5,0
2008,617.31,0
2013,252.0,0
2013,672.0,0
2013,252.0,0
2013,672.0,0
2013,252.0,0
2013,252.0,0
2013,672.0,0
2013,672.0,0
2013,672.0,0
2013,252.0,0
2013,672.0,0
2011,2652.0,0
2006,82.5,0
2012,854.0,0
2012,471.25,0
2014,8273.86,0
2014,345.0,0
2014,625.52,0
2014,5352.0,0
2012,510.0,0
2013,713.0,0
2013,639.0,0
2013,639.0,0
2013,639.0,0
2013,639.0,0
2013,639.0,0
2007,1120.0,0
2008,165.63,0
2007,49.32,0
2008,66.14,0
2004,1850.78,0
2011,1122.0,0
2008,3456.0,0
2006,2827.5,0
2008,1840.0,0
2007,17.72,0
2007,224.0,0
2005,395.25,0
2005,420.0,0
2005,420.0,0
2005,420.0,0
2005,420.0,0
2005,420.0,0
2005,420.0,0
2005,420.0,0
2011,663.0,0
2004,2790.0,0
2011,561.0,0
2005,80.0,0
2009,360.0,0
2009,69.0,0
2005,26.0,0
2005,0.94,0
2005,0.55,0
2010,1926.0,0
2004,19.5,0
2004,100.0,0
2004,58.5,0
2004,15.75,0
2008,3.09,0
2008,154.38,0
2014,13230.0,0
2009,708.67,0
2004,138.0,0
2009,328.0,0
2008,168.0,0
1970,10.69,572
2007,1242.0,0
1993,1218.0,0
2011,5.03,0
2009,880.55,421
2008,60.47,0
2013,639.0,0
2013,639.0,0
2013,1.25,0
1992,600.0,0
2002,144.42,0
2009,2733.52,224
1927,6.25,450
1927,6.33,450
1927,9.06,450
2013,813.75,0
2013,666.75,0
2006,600.0,0
2013,1023.75,0
2013,252.0,0
2013,252.0,0
2013,252.0,0
2008,1397.69,0
2008,1401.03,0
2007,546.66,0
2008,1260.0,0
2007,981.5,0
2005,1024.54,0
2007,325.13,0
2007,395.25,0
2007,395.25,0
2007,395.25,0
2007,325.13,0
2007,395.25,0
2007,843.75,0
2007,830.56,0
2009,6480.0,0
2009,2376.0,0
2008,1228.5,0
2008,896.38,0
2008,2183.59,0
2008,855.23,0
2013,864.0,0
2009,3240.0,0
2009,5760.0,0
2009,2880.0,0
2009,3216.0,0
2009,3228.0,0
2009,3240.0,0
2004,95.91,0
2009,101.25,0
2004,216.0,0
2005,336.0,0
2008,744.0,0
2008,71.25,0
2009,574.03,0
2009,646.0,0
2008,568.0,0
2008,333.5,0
2009,22.31,0
2005,93.66,0
2005,97.75,0
2005,126.75,0
2005,155.25,0
2009,1093.9,0
2009,1406.5,0
2009,1757.44,0
2009,1808.98,0
2009,1007.75,0
2009,967.5,0
2009,1546.59,0
2009,1015.0,0
2009,994.5,0
2009,784.38,0
2009,1182.56,0
2009,966.72,0
2009,1065.67,0
2009,541.38,0
2009,786.63,0
2009,519.94,0
2009,784.89,0
2009,703.59,0
2009,1481.63,0
2009,721.59,0
2009,702.02,0
2009,3662.75,0
2009,2751.59,0
2009,543.56,0
2009,852.69,0
2009,1464.5,0
2009,1266.67,0
2009,991.41,0
2009,916.75,0
2009,787.59,0
2009,2428.16,0
2009,1893.94,0
2009,1112.88,0
2009,1990.94,0
2009,1128.01,0
2009,1560.97,0
2009,1003.75,0
2009,796.8,0
2009,752.25,0
2009,450.0,0
